#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
-0.872 9.962 -1.569 17.932 -2.092 23.909 -0.087 0.000 0.000
-1.736 9.848 -3.126 17.727 -4.168 23.635 -0.175 0.000 0.000
-2.588 9.659 -4.659 17.387 -6.212 23.182 -0.262 0.000 0.000
-3.420 9.397 -6.156 16.914 -8.208 22.553 -0.349 0.000 0.000
-4.226 9.063 -7.607 16.314 -10.143 21.751 -0.436 0.000 0.000
-5.000 8.660 -9.000 15.588 -12.000 20.785 -0.524 0.000 0.000
-5.736 8.192 -10.324 14.745 -13.766 19.660 -0.611 0.000 0.000
-6.428 7.660 -11.570 13.789 -15.427 18.385 -0.698 0.000 0.000
-7.071 7.071 -12.728 12.728 -16.971 16.971 -0.785 0.000 0.000
-7.660 6.428 -13.789 11.570 -18.385 15.427 -0.873 0.000 0.000
-8.192 5.736 -14.745 10.324 -19.660 13.766 -0.960 0.000 0.000
-8.192 5.736 -14.745 10.324 -19.941 13.324 -0.960 0.000 -0.087
-8.192 5.736 -14.745 10.324 -20.183 12.860 -0.960 0.000 -0.175
-8.192 5.736 -14.745 10.324 -20.383 12.376 -0.960 0.000 -0.262
-8.192 5.736 -14.745 10.324 -20.183 12.860 -0.960 0.000 -0.175
-8.192 5.736 -14.745 10.324 -19.941 13.324 -0.960 0.000 -0.087
-8.192 5.736 -14.745 10.324 -19.660 13.766 -0.960 0.000 0.000
-8.192 5.736 -14.745 10.324 -19.341 14.181 -0.960 0.000 0.087
-8.192 5.736 -14.745 10.324 -18.987 14.567 -0.960 0.000 0.175
-8.192 5.736 -14.745 10.324 -18.601 14.921 -0.960 0.000 0.262
-8.192 5.736 -14.745 10.324 -18.186 15.239 -0.960 0.000 0.349
-8.192 5.736 -14.745 10.324 -17.745 15.521 -0.960 0.000 0.436
-8.192 5.736 -14.745 10.324 -17.280 15.762 -0.960 0.000 0.524
-8.192 5.736 -14.745 10.324 -16.797 15.963 -0.960 0.000 0.611
-8.192 5.736 -14.745 10.324 -16.298 16.120 -0.960 0.000 0.698
-8.192 5.736 -14.320 10.878 -15.362 16.787 -0.960 0.087 0.698
-8.192 5.736 -13.848 11.393 -14.371 17.370 -0.960 0.175 0.698
-8.192 5.736 -13.334 11.864 -13.334 17.864 -0.960 0.262 0.698
-8.192 5.736 -12.780 12.289 -12.257 18.266 -0.960 0.349 0.698
-8.192 5.736 -12.192 12.664 -11.150 18.573 -0.960 0.436 0.698
-8.192 5.736 -11.572 12.986 -10.020 18.782 -0.960 0.524 0.698
-8.192 5.736 -10.928 13.253 -8.876 18.891 -0.960 0.611 0.698
-8.192 5.736 -10.262 13.463 -7.726 18.901 -0.960 0.698 0.698
-8.192 5.736 -9.581 13.614 -6.581 18.810 -0.960 0.785 0.698
-8.192 5.736 -8.889 13.705 -5.447 18.620 -0.960 0.873 0.698
-8.192 5.736 -8.192 13.736 -4.335 18.332 -0.960 0.960 0.698
-8.192 5.736 -7.494 13.705 -3.252 17.948 -0.960 1.047 0.698
-8.192 5.736 -7.494 13.705 -3.638 18.302 -0.960 1.047 0.611
-8.192 5.736 -7.494 13.705 -4.053 18.620 -0.960 1.047 0.524
-8.192 5.736 -7.494 13.705 -4.494 18.901 -0.960 1.047 0.436
-8.192 5.736 -7.494 13.705 -4.959 19.143 -0.960 1.047 0.349
-8.192 5.736 -7.494 13.705 -5.442 19.343 -0.960 1.047 0.262
-7.660 6.428 -6.271 14.306 -3.736 19.744 -0.873 1.047 0.262
-7.071 7.071 -5.001 14.798 -2.001 19.995 -0.785 1.047 0.262
-6.428 7.660 -3.692 15.178 -0.250 20.093 -0.698 1.047 0.262
-5.736 8.192 -2.355 15.442 1.502 20.038 -0.611 1.047 0.262
-5.000 8.660 -1.000 15.588 3.243 19.831 -0.524 1.047 0.262
-4.226 9.063 0.362 15.616 4.959 19.473 -0.436 1.047 0.262
-3.420 9.397 1.722 15.525 6.637 18.967 -0.349 1.047 0.262
-2.588 9.659 3.069 15.316 8.265 18.316 -0.262 1.047 0.262
-2.588 9.659 2.554 15.788 7.469 19.229 -0.262 0.960 0.262
-2.588 9.659 2.000 16.212 6.597 20.069 -0.262 0.873 0.262
-2.588 9.659 1.412 16.587 5.654 20.830 -0.262 0.785 0.262
-2.588 9.659 0.793 16.910 4.649 21.506 -0.262 0.698 0.262
-1.736 9.848 2.264 16.776 6.506 21.019 -0.175 0.698 0.262
-0.872 9.962 3.717 16.515 8.313 20.372 -0.087 0.698 0.262
-1.736 9.848 2.264 16.776 6.506 21.019 -0.175 0.698 0.262
-2.588 9.659 0.793 16.910 4.649 21.506 -0.262 0.698 0.262
-3.420 9.397 -0.684 16.914 2.757 21.829 -0.349 0.698 0.262
-4.226 9.063 -2.156 16.790 0.844 21.987 -0.436 0.698 0.262
-4.226 9.063 -1.490 16.581 1.951 21.496 -0.436 0.785 0.262
-4.226 9.063 -0.845 16.314 3.011 20.910 -0.436 0.873 0.262
-4.226 9.063 -0.226 15.991 4.016 20.234 -0.436 0.960 0.262
-4.226 9.063 0.362 15.616 4.959 19.473 -0.436 1.047 0.262
-4.226 9.063 0.916 15.191 5.831 18.633 -0.436 1.134 0.262
-4.226 9.063 1.431 14.720 6.627 17.720 -0.436 1.222 0.262
-4.226 9.063 1.902 14.205 7.340 16.741 -0.436 1.309 0.262
-4.226 9.063 1.431 14.720 6.627 17.720 -0.436 1.222 0.262
-4.226 9.063 0.916 15.191 5.831 18.633 -0.436 1.134 0.262
-4.226 9.063 0.362 15.616 4.959 19.473 -0.436 1.047 0.262
-4.226 9.063 -0.226 15.991 4.016 20.234 -0.436 0.960 0.262
-4.226 9.063 -0.845 16.314 3.011 20.910 -0.436 0.873 0.262
-4.226 9.063 -1.490 16.581 1.951 21.496 -0.436 0.785 0.262
-4.226 9.063 -2.156 16.790 0.844 21.987 -0.436 0.698 0.262
-4.226 9.063 -1.490 16.581 1.951 21.496 -0.436 0.785 0.262
-4.226 9.063 -0.845 16.314 3.011 20.910 -0.436 0.873 0.262
-4.226 9.063 -0.226 15.991 4.016 20.234 -0.436 0.960 0.262
-4.226 9.063 -0.226 15.991 4.370 19.848 -0.436 0.960 0.349
-4.226 9.063 -0.226 15.991 4.689 19.433 -0.436 0.960 0.436
-4.226 9.063 -0.226 15.991 4.970 18.991 -0.436 0.960 0.524
-4.226 9.063 -0.226 15.991 5.212 18.527 -0.436 0.960 0.611
-4.226 9.063 -0.226 15.991 5.412 18.043 -0.436 0.960 0.698
-4.226 9.063 -0.226 15.991 5.569 17.544 -0.436 0.960 0.785
-4.226 9.063 -0.226 15.991 5.683 17.033 -0.436 0.960 0.873
-5.000 8.660 -1.619 15.911 4.177 17.464 -0.524 0.960 0.873
-5.736 8.192 -3.000 15.709 2.639 17.761 -0.611 0.960 0.873
-6.428 7.660 -4.357 15.388 1.081 17.924 -0.698 0.960 0.873
-7.071 7.071 -5.682 14.950 -0.486 17.950 -0.785 0.960 0.873
-7.660 6.428 -6.963 14.397 -2.048 17.839 -0.873 0.960 0.873
-8.192 5.736 -8.192 13.736 -3.595 17.592 -0.960 0.960 0.873
